seed,r,epoch_to_dmn_0.9,final_dmn,never_crossed
10,0.0,0.0,0.9999995154333333,False
10,0.2,0.0,0.9443191834641131,False
10,0.3,1.0,0.9681908732097295,False
10,0.4,3.0,0.5961137666159018,False
10,0.5,,0.6659916136186496,True
10,1.0,,0.004944920829682772,True
11,0.0,0.0,0.9999938313811815,False
11,0.2,0.0,0.9358911498470173,False
11,0.3,1.0,0.9995788855219848,False
11,0.4,2.0,0.7159257576312605,False
11,0.5,,0.5784903461925588,True
11,1.0,,0.0008942764036697488,True
12,0.0,0.0,0.9999309605048198,False
12,0.2,0.0,0.98655648937092,False
12,0.3,0.0,0.9062732401913693,False
12,0.4,1.0,0.5848411031197871,False
12,0.5,3.0,0.5924531389495444,False
12,1.0,,0.005375937455802284,True
13,0.0,0.0,0.999999076843607,False
13,0.2,0.0,0.9998454882822443,False
13,0.3,2.0,0.9818207819280476,False
13,0.4,2.0,0.7679782815982631,False
13,0.5,,0.8949437956144018,True
13,1.0,,0.0038514156452098343,True
14,0.0,0.0,0.9999658610640478,False
14,0.2,0.0,0.8913320184806817,False
14,0.3,1.0,0.9548721152729375,False
14,0.4,2.0,0.8820193442967664,False
14,0.5,4.0,0.5415159777521309,False
14,1.0,,0.01638238876365736,True
15,0.0,0.0,0.9999994478944796,False
15,0.2,1.0,0.9989786549709814,False
15,0.3,1.0,0.9972856387213564,False
15,0.4,2.0,0.7876849730605356,False
15,0.5,,0.6256150877597042,True
15,1.0,,0.004222309989220171,True
1,0.0,0.0,0.999943345122972,False
1,0.2,0.0,0.8777558832157875,False
1,0.3,1.0,0.9763347680533321,False
1,0.4,3.0,0.7897448080209921,False
1,0.5,,0.553807331682966,True
1,1.0,,0.027586263355534518,True
2,0.0,0.0,0.9999910310643871,False
2,0.2,1.0,0.9696573097261801,False
2,0.3,1.0,0.9780870200360134,False
2,0.4,3.0,0.9964107989130532,False
2,0.5,6.0,0.7241331819595911,False
2,1.0,,0.005388861427976643,True
3,0.0,0.0,0.9999964230983888,False
3,0.2,0.0,0.9999952972379628,False
3,0.3,0.0,0.9762083981343785,False
3,0.4,1.0,0.7299980080517675,False
3,0.5,2.0,0.8127026879504609,False
3,1.0,,0.0011447449238737204,True
4,0.0,0.0,0.9999832223201414,False
4,0.2,0.0,0.9440762722930568,False
4,0.3,0.0,0.851527296191361,False
4,0.4,1.0,0.8120517276572201,False
4,0.5,,0.5696814438956385,True
4,1.0,,0.0040261295463829136,True
5,0.0,0.0,0.9840910936799029,False
5,0.2,1.0,0.9999580071896257,False
5,0.3,1.0,0.8406445998596676,False
5,0.4,3.0,0.5759095592214624,False
5,0.5,5.0,0.6101840541309946,False
5,1.0,,0.0015613863473344816,True
6,0.0,0.0,0.9999997283878511,False
6,0.2,0.0,0.9986285193768558,False
6,0.3,0.0,0.9926672045820176,False
6,0.4,0.0,0.7405025343760683,False
6,0.5,0.0,0.8331025846840532,False
6,1.0,,0.0007516892140091402,True
7,0.0,0.0,0.9993506473012074,False
7,0.2,0.0,0.9740018705893394,False
7,0.3,1.0,0.9234503123480242,False
7,0.4,4.0,0.8567913712189392,False
7,0.5,,0.36119581329711176,True
7,1.0,,0.0268442119746379,True
8,0.0,0.0,0.9999210596695459,False
8,0.2,0.0,0.9986486153115705,False
8,0.3,1.0,0.8919640265814435,False
8,0.4,2.0,0.6466717090296726,False
8,0.5,,0.6357342603368648,True
8,1.0,,0.009224531476441073,True
9,0.0,0.0,0.999995979695967,False
9,0.2,0.0,0.9985895812077215,False
9,0.3,0.0,0.9736392125190212,False
9,0.4,3.0,0.8244347099112365,False
9,0.5,5.0,0.9126407029576792,False
9,1.0,,0.053188018449096236,True
