seed,r,peak_dmn,peak_epoch,final_dmn,decline
1,0.0,0.999999287651628,5,0.999943345122972,5.594252865603888e-05
1,0.2,0.9999963780092,6,0.8777558832157875,0.12224049479341259
1,0.3,0.9999630077587138,8,0.9763347680533321,0.02362823970538175
1,0.4,0.995469592188884,7,0.7897448080209921,0.20572478416789186
1,0.5,0.8989700310729363,7,0.553807331682966,0.34516269938997024
1,1.0,0.027586263355534518,14,0.027586263355534518,0.0
2,0.0,0.9999980001829796,4,0.9999910310643871,6.969118592436985e-06
2,0.2,0.9999999672642715,8,0.9696573097261801,0.0303426575380914
2,0.3,0.9999997255853944,9,0.9780870200360134,0.021912705549380962
2,0.4,0.998330941452998,7,0.9964107989130532,0.0019201425399448802
2,0.5,0.9350506554500243,7,0.7241331819595911,0.21091747349043322
2,1.0,0.013562211261878595,12,0.005388861427976643,0.00817334983390195
3,0.0,0.9999999642070508,3,0.9999964230983888,3.541108662075132e-06
3,0.2,0.9999999971479624,8,0.9999952972379628,4.699909999628105e-06
3,0.3,0.9999995568806506,8,0.9762083981343785,0.023791158746272023
3,0.4,0.9997553733492327,5,0.7299980080517675,0.2697573652974652
3,0.5,0.9976584415475813,6,0.8127026879504609,0.18495575359712046
3,1.0,0.003229266634980715,13,0.0011447449238737204,0.0020845217111069942
4,0.0,0.9999995058444935,7,0.9999832223201414,1.6283524352123102e-05
4,0.2,0.9999997656037769,7,0.9440762722930568,0.05592349331072011
4,0.3,0.9999937215447285,8,0.851527296191361,0.14846642535336751
4,0.4,0.9998721820036994,7,0.8120517276572201,0.18782045434647932
4,0.5,0.8557626853868394,5,0.5696814438956385,0.28608124149120095
4,1.0,0.006225897741870239,12,0.0040261295463829136,0.0021997681954873255
5,0.0,0.999997515875651,3,0.9840910936799029,0.015906422195748116
5,0.2,0.9999996897024803,10,0.9999580071896257,4.168251285463498e-05
5,0.3,0.9999934201590811,7,0.8406445998596676,0.15934882029941355
5,0.4,0.9955012090726288,5,0.5759095592214624,0.4195916498511665
5,0.5,0.9812107392705132,8,0.6101840541309946,0.37102668513951853
5,1.0,0.0033385766717436453,9,0.0015613863473344816,0.0017771903244091637
6,0.0,0.999999970224467,7,0.9999997283878511,2.418366158440932e-07
6,0.2,0.9999999918055539,7,0.9986285193768558,0.0013714724286980617
6,0.3,0.9999999259889507,7,0.9926672045820176,0.007332721406933085
6,0.4,0.9999834439332926,5,0.7405025343760683,0.25948090955722436
6,0.5,0.9970419174505603,5,0.8331025846840532,0.16393933276650707
6,1.0,0.0007516892140091402,14,0.0007516892140091402,0.0
7,0.0,0.9999998288915547,7,0.9993506473012074,0.0006491815903473253
7,0.2,0.9999944165003968,7,0.9740018705893394,0.025992545911057374
7,0.3,0.9999856299788146,10,0.9234503123480242,0.07653531763079036
7,0.4,0.9838777771322225,6,0.8567913712189392,0.12708640591328324
7,0.5,0.719726975916885,9,0.36119581329711176,0.3585311626197732
7,1.0,0.026940022389980237,13,0.0268442119746379,9.581041534233517e-05
8,0.0,0.9999976726442288,9,0.9999210596695459,7.661297468286588e-05
8,0.2,0.9999993844297177,10,0.9986486153115705,0.0013507691181472437
8,0.3,0.9999959851259878,7,0.8919640265814435,0.10803195854454428
8,0.4,0.9989374383083425,5,0.6466717090296726,0.35226572927866984
8,0.5,0.6728297053615333,10,0.6357342603368648,0.03709544502466855
8,1.0,0.009224531476441073,14,0.009224531476441073,0.0
9,0.0,0.9999960272409565,11,0.999995979695967,4.754498950099162e-08
9,0.2,0.9999999348388394,7,0.9985895812077215,0.0014103536311179665
9,0.3,0.999995559048876,7,0.9736392125190212,0.026356346529854857
9,0.4,0.995265360317286,7,0.8244347099112365,0.1708306504060495
9,0.5,0.9339213562292645,6,0.9126407029576792,0.021280653271585348
9,1.0,0.06373221822025558,11,0.053188018449096236,0.010544199771159349
10,0.0,0.9999997905550888,10,0.9999995154333333,2.751217554886054e-07
10,0.2,0.9999986473835033,6,0.9443191834641131,0.05567946391939016
10,0.3,0.9999333453995991,7,0.9681908732097295,0.031742472189869586
10,0.4,0.9740005405874735,4,0.5961137666159018,0.3778867739715718
10,0.5,0.7045358253880126,6,0.6659916136186496,0.03854421176936307
10,1.0,0.004944920829682772,14,0.004944920829682772,0.0
11,0.0,0.9999998806044779,8,0.9999938313811815,6.04922329638935e-06
11,0.2,0.9999997075296928,7,0.9358911498470173,0.06410855768267554
11,0.3,0.9999979960588927,9,0.9995788855219848,0.00041911053690790734
11,0.4,0.9972452107118104,5,0.7159257576312605,0.28131945308054984
11,0.5,0.7600850871585966,4,0.5784903461925588,0.18159474096603778
11,1.0,0.0019442256104946665,10,0.0008942764036697488,0.0010499492068249175
12,0.0,0.9999999969713271,4,0.9999309605048198,6.903646650735507e-05
12,0.2,0.9999997608209399,4,0.98655648937092,0.013443271450019889
12,0.3,0.9999938009205604,7,0.9062732401913693,0.0937205607291911
12,0.4,0.9990086533053988,4,0.5848411031197871,0.4141675501856117
12,0.5,0.9461704034718628,4,0.5924531389495444,0.35371726452231833
12,1.0,0.021400455300971764,11,0.005375937455802284,0.016024517845169478
13,0.0,0.9999999318545745,5,0.999999076843607,8.550109674709816e-07
13,0.2,0.9999997625598189,6,0.9998454882822443,0.00015427427757463974
13,0.3,0.9999913785877627,8,0.9818207819280476,0.0181705966597151
13,0.4,0.9981131736218327,5,0.7679782815982631,0.23013489202356963
13,0.5,0.8949437956144018,14,0.8949437956144018,0.0
13,1.0,0.0038514156452098343,14,0.0038514156452098343,0.0
14,0.0,0.9999983661552533,3,0.9999658610640478,3.250509120544809e-05
14,0.2,0.9999988304305967,8,0.8913320184806817,0.10866681194991501
14,0.3,0.9999932686088642,8,0.9548721152729375,0.0451211533359267
14,0.4,0.9978948829224447,6,0.8820193442967664,0.11587553862567823
14,0.5,0.9799329810030831,6,0.5415159777521309,0.43841700325095223
14,1.0,0.031106222563943072,13,0.01638238876365736,0.014723833800285711
15,0.0,0.9999998082111249,10,0.9999994478944796,3.603166452981199e-07
15,0.2,0.9999998698947419,9,0.9989786549709814,0.001021214923760505
15,0.3,0.9999959853197936,9,0.9972856387213564,0.0027103465984371633
15,0.4,0.9937682445299508,4,0.7876849730605356,0.20608327146941519
15,0.5,0.814280437709107,7,0.6256150877597042,0.18866534994940276
15,1.0,0.010082187969525718,11,0.004222309989220171,0.005859877980305547
